sku,retail_price,purchase_price
BO.163.R.13.S,1000.0,
BO.163.R.13.T,1000.0,
BO.163.L.05.S,1000.0,
BO.163.L.05.T,1000.0,
BO.163.R.05.S,1000.0,
BO.163.R.05.T,1000.0,
BO.163.L.07.S,1000.0,
BO.163.L.07.T,1000.0,
BO.163.R.07.S,1000.0,
BO.163.R.07.T,1000.0,
BO.163.L.09.S,1000.0,
BO.163.L.09.T,1000.0,
BO.163.R.09.S,1000.0,
BO.163.R.09.T,1000.0,
BO.269.10.S,170000.0,
BO.269.4.S,170000.0,
BO.269.6.S,170000.0,
BO.269.8.S,170000.0,
BO.269.10.T,220000.0,
BO.269.4.T,220000.0,
BO.269.5.T,220000.0,
BO.269.6.T,220000.0,
BO.269.8.T,220000.0,
BO.9907.L.11.S,1000.0,
BO.9907.L.11.T,1000.0,
BO.9907.R.11.S,1000.0,
BO.9907.R.11.T,220000.0,
BO.9907.L.13.S,1000.0,
BO.9907.L.13.T,220000.0,
BO.9907.R.13.S,1000.0,
BO.9907.R.13.T,220000.0,
BO.9907.L.3.S,1000.0,
BO.9907.R.3.S,1000.0,
BO.9907.R.3.T,220000.0,
BO.9907.L.3.T,1000.0,
BO.9907.L.5.S,1000.0,
BO.9907.L.5.T,1000.0,
BO.9907.R.5.S,1000.0,
BO.9907.R.5.T,1000.0,
BO.9907.L.7.S,1000.0,
BO.9907.L.7.T,1000.0,
BO.9907.R.7.S,1000.0,
BO.9907.R.7.T,1000.0,
3010261011,1000.0,
3010261013,1000.0,
3010261005,270000.0,
3010261007,1000.0,
3010261009,1000.0,
3010262011,1000.0,
3010262013,1000.0,
3010262005,1000.0,
3010262007,1000.0,
3010262009,1000.0,
3010261015,1000.0,
3010261005.R,270000.0,
3010261007.R,270000.0,
3010261009.R,270000.0,
3010262015,1000.0,
030740010,80000.0,
030740014,80000.0,
DM.04007000.20.CL,7000.0,
DM.04007000.24.CL,7000.0,
DM.04007000.26.CL,7000.0,
DM.04007000.28.CL,7000.0,
DM.04007000.32.CL,7000.0,
DM.04007000.34.CL,7000.0,
DM.04007000.36.CL,7000.0,
DM.04007000.38.CL,7000.0,
DM.04007000.40.CL,7000.0,
DM.04007000.42.CL,7000.0,
DM.04007000.14,7000.0,
DM.04007000.16,7000.0,
DM.04007000.18,7000.0,
DM.04007000.20,7000.0,
DM.04007000.22,7000.0,
DM.04007000.24,7000.0,
DM.04007000.52,7000.0,
042892012,16000.0,
042892013,16000.0,
042892014,16000.0,
042902712,16000.0,
0429027713,16000.0,
042902714,16000.0,
DM.073520400.1.5.T,35000.0,
DM.073520400.2.T,35000.0,
DM.073520400.2.5.T,35000.0,
DM.073520400.3.T,35000.0,
DM.073520400.3.5.T,35000.0,
DM.073520400.4.T,35000.0,
BO.710.025,1000.0,
BO.711.005,1000.0,
BO.710.006,1000.0,
BO.710.005,1000.0,
631,7000.0,
3051070000,1000.0,
3051070001,1000.0,
3050560000,1000.0,
3050560010,1000.0,
3050560015,1000.0,
3050560005,1000.0,
BO.710.042.S,10.0,
BO.710.042.T,10.0,
BO.04.389.T,1000.0,
BO.9941.L.10.S,1000.0,
BO.9941.L.10.T,220000.0,
BO.9941.R.10.S,1000.0,
BO.9941.R.10.T,1000.0,
BO.9941.L.12.S,1000.0,
BO.9941.L.12.T,1000.0,
BO.9941.R.12.S,1000.0,
BO.9941.R.12.T,1000.0,
BO.9941.L.14.S,1000.0,
BO.9941.L.14.T,220000.0,
BO.9941.R.14.S,1000.0,
BO.9941.R.14.T,1000.0,
BO.9941.L.4.S,1000.0,
BO.9941.L.4.T,220000.0,
BO.9941.R.4.S,1000.0,
BO.9941.R.4.T,220000.0,
BO.9941.L.6.S,1000.0,
BO.9941.L.6.T,220000.0,
BO.9941.R.6.S,1000.0,
BO.9941.R.6.T,220000.0,
