"name","owner","creation","modified","modified_by","docstatus","idx","uom_name","enabled","must_be_whole_number","doctype"
"Nanogram/Litre","Administrator","2026-04-19 23:12:13.384435","2026-04-19 23:12:13.384435","Administrator","0","0","Nanogram/Litre","1","0","UOM"
"Nanohertz","Administrator","2026-04-19 23:12:13.388545","2026-04-19 23:12:13.388545","Administrator","0","0","Nanohertz","1","0","UOM"
"Nanometer","Administrator","2026-04-19 23:12:13.391906","2026-04-19 23:12:13.391906","Administrator","0","0","Nanometer","1","0","UOM"
"Nanosecond","Administrator","2026-04-19 23:12:13.395266","2026-04-19 23:12:13.395266","Administrator","0","0","Nanosecond","1","0","UOM"
"Newton","Administrator","2026-04-19 23:12:13.398018","2026-04-19 23:12:13.398018","Administrator","0","0","Newton","1","0","UOM"
"Nos","Administrator","2026-04-19 23:12:13.401266","2026-04-19 23:12:13.401266","Administrator","0","131","Nos","1","1","UOM"
"Ounce","Administrator","2026-04-19 23:12:13.406691","2026-04-19 23:12:13.406691","Administrator","0","0","Ounce","1","0","UOM"
"Ounce-Force","Administrator","2026-04-19 23:12:13.411733","2026-04-19 23:12:13.411733","Administrator","0","0","Ounce-Force","1","0","UOM"
"Ounce/Cubic Foot","Administrator","2026-04-19 23:12:13.428105","2026-04-19 23:12:13.428105","Administrator","0","0","Ounce/Cubic Foot","1","0","UOM"
"Ounce/Cubic Inch","Administrator","2026-04-19 23:12:13.432078","2026-04-19 23:12:13.432078","Administrator","0","0","Ounce/Cubic Inch","1","0","UOM"
"Ounce/Gallon (UK)","Administrator","2026-04-19 23:12:13.436271","2026-04-19 23:12:13.436271","Administrator","0","0","Ounce/Gallon (UK)","1","0","UOM"
"Ounce/Gallon (US)","Administrator","2026-04-19 23:12:13.440928","2026-04-19 23:12:13.440928","Administrator","0","0","Ounce/Gallon (US)","1","0","UOM"
"Pair","Administrator","2026-04-19 23:12:13.445146","2026-04-19 23:12:13.445146","Administrator","0","0","Pair","1","1","UOM"
"Parts Per Million","Administrator","2026-04-19 23:12:13.449204","2026-04-19 23:12:13.449204","Administrator","0","0","Parts Per Million","1","0","UOM"
"Pascal","Administrator","2026-04-19 23:12:13.454496","2026-04-19 23:12:13.454496","Administrator","0","0","Pascal","1","0","UOM"
"Peck (UK)","Administrator","2026-04-19 23:12:13.458654","2026-04-19 23:12:13.458654","Administrator","0","0","Peck (UK)","1","0","UOM"
"Peck (US)","Administrator","2026-04-19 23:12:13.462778","2026-04-19 23:12:13.462778","Administrator","0","0","Peck (US)","1","0","UOM"
"Percent","Administrator","2026-04-19 23:12:13.466567","2026-04-19 23:12:13.466567","Administrator","0","0","Percent","1","0","UOM"
"Pint (UK)","Administrator","2026-04-19 23:12:13.470050","2026-04-19 23:12:13.470050","Administrator","0","0","Pint (UK)","1","0","UOM"
"Pint (US)","Administrator","2026-04-19 23:12:13.473284","2026-04-19 23:12:13.473284","Administrator","0","0","Pint (US)","1","0","UOM"
"Pint, Dry (US)","Administrator","2026-04-19 23:12:13.476639","2026-04-19 23:12:13.476639","Administrator","0","0","Pint, Dry (US)","1","0","UOM"
"Pint, Liquid (US)","Administrator","2026-04-19 23:12:13.479906","2026-04-19 23:12:13.479906","Administrator","0","0","Pint, Liquid (US)","1","0","UOM"
"Pond","Administrator","2026-04-19 23:12:13.483320","2026-04-19 23:12:13.483320","Administrator","0","0","Pond","1","0","UOM"
"Pood","Administrator","2026-04-19 23:12:13.486903","2026-04-19 23:12:13.486903","Administrator","0","0","Pood","1","0","UOM"
"Pound","Administrator","2026-04-19 23:12:13.490941","2026-04-19 23:12:13.490941","Administrator","0","0","Pound","1","0","UOM"
"Pound-Force","Administrator","2026-04-19 23:12:13.495160","2026-04-19 23:12:13.495160","Administrator","0","0","Pound-Force","1","0","UOM"
